,Area,Year,Undernourished (mil),Population,Population (mil),Undernourished (%),Inflation (%),Ratio U:I ,Ratio I:U
22,Cambodia,2004,2.5,13066475.0,13.066475,19.132933710124600,7.862858166666670,2.433330641933190,0.410959358653183
23,Cambodia,2005,2.4,13273355.0,13.273355,18.081336632675000,9.584247416666670,1.886568224567340,0.530062993205207
24,Cambodia,2006,2.3,13477705.0,13.477705,17.065219931731700,7.812020750000000,2.184482156135040,0.457774396184255
25,Cambodia,2007,2.1,13679953.0,13.679953,15.350929933750500,13.78019725,1.11398477505469,0.897678336717759
26,Cambodia,2008,2.0,13883835.0,13.883835,14.405241779378700,33.628242666666700,0.428367367339644,2.334444862619800
27,Cambodia,2009,2.0,14093605.0,14.093605,14.190833360236800,-0.7937115833333330,-17.8790805857209,-0.0559312876971228
28,Cambodia,2010,1.8,14312205.0,14.312205,12.57667843634160,4.34402925,2.89516430773149,0.345403539733312
29,Cambodia,2011,1.6,14541421.0,14.541421,11.003051214871000,6.474133583333330,1.699540343621680,0.588394387784301
30,Cambodia,2012,1.4,14780454.0,14.780454,9.471968858331420,3.2437319166666700,2.9200837497277,0.342455931304454
31,Cambodia,2013,1.4,15026330.0,15.02633,9.31697892965215,3.8704925000000000,2.40718175520354,0.41542355405375
32,Cambodia,2014,1.4,15274506.0,15.274506,9.165599201702500,4.905246833333330,1.868529660815070,0.535180158480221
33,Cambodia,2015,1.4,15521435.0,15.521435,9.019784575330820,4.0260117500000000,2.24037711150019,0.446353426334723
34,Cambodia,2016,1.4,15766290.0,15.76629,8.879704737132200,5.587769916666670,1.589132134923210,0.629274292567447
35,Cambodia,2017,1.3,16009413.0,16.009413,8.120222771440780,3.416926,2.37647018736747,0.420792150187984
36,Cambodia,2018,1.2,16249795.0,16.249795,7.38470854555396,2.4547404166666700,3.00834601305085,0.332408571242066
37,Cambodia,2019,1.1,16486542.0,16.486542,6.67210868112913,2.07048325,3.22248860556062,0.31031917328565
38,Cambodia,2020,1.0,16718971.0,16.718971,5.981229347188890,4.644016333333330,1.287943219376180,0.776431744005263
39,Cambodia,2021,1.0,16946446.0,16.946446,5.900942297871780,2.749886,2.14588615596129,0.46600794605156
40,Indonesia,2002,41.1,217357790.0,217.35779,18.90891511180710,10.878485416666700,1.73819372711914,0.575309865867131
41,Indonesia,2003,41.6,220309473.0,220.309473,18.882528941458600,1.1046665833333300,17.0934191604498,0.05850204634973
42,Indonesia,2004,41.6,223285666.0,223.285666,18.630842160732300,5.929216833333330,3.142209617970450,0.318247386896454
43,Indonesia,2005,42.5,226289468.0,226.289468,18.781254105913600,10.289273083333300,1.825323708857110,0.547848031090402
44,Indonesia,2006,43.5,229318262.0,229.318262,18.969269878733000,14.993463666666700,1.265169296465180,0.790408052735667
45,Indonesia,2007,43.5,232374239.0,232.374239,18.719803101754300,10.969682416666700,1.706503651674780,0.585993472102209
46,Indonesia,2008,42.9,235469755.0,235.469755,18.218900342424000,16.945852833333300,1.075124428472940,0.930124898585327
47,Indonesia,2009,40.9,238620554.0,238.620554,17.14018315454920,7.1088674166666700,2.41109900493631,0.41474862622923
48,Indonesia,2010,36.8,241834226.0,241.834226,15.217035491080600,9.391281166666670,1.620336482427110,0.617155764154676
49,Indonesia,2011,31.4,245115988.0,245.115988,12.810261891199000,8.722155083333330,1.468703751401690,0.680872503420534
50,Indonesia,2012,26.3,248451714.0,248.451714,10.585557884297800,5.864713166666670,1.804957477624490,0.554029672386578
51,Indonesia,2013,23.2,251805314.0,251.805314,9.213467194739190,11.799816833333300,0.780814424908026,1.280714044336200
52,Indonesia,2014,20.7,255128076.0,255.128076,8.11357194572345,6.88167925,1.17901047854322,0.848168882464552
53,Indonesia,2015,20.1,258383257.0,258.383257,7.77914181954909,7.183064916666670,1.08298364414045,0.92337497930884
54,Indonesia,2016,18.7,261556386.0,261.556386,7.1495100104342300,7.26224375,0.9844767342647,1.01576803716636
55,Indonesia,2017,17.3,264650969.0,264.650969,6.536911640780730,2.142843416666670,3.050578306346490,0.327806697477517
56,Indonesia,2018,15.7,267670549.0,267.670549,5.865419284510080,4.2413585,1.38291051900236,0.723112584841284
57,Indonesia,2019,15.7,270625567.0,270.625567,5.8013735265448900,1.0849549166666700,5.3471102231312700,0.1870169041352580
58,Indonesia,2020,16.7,273523621.0,273.523621,6.105505600922120,5.378286833333330,1.135213831118430,0.880891311035902
59,Indonesia,2021,17.7,276361788.0,276.361788,6.404648098455640,2.709884666666670,2.363439365976330,0.423112187431517
60,Lao People's Democratic Republic,2002,1.7,5493247.0,5.493247,30.947088306788300,17.074953833333300,1.812425884653000,0.551746699529981
61,Lao People's Democratic Republic,2003,1.6,5576640.0,5.57664,28.691111493659300,25.45708983333330,1.127038152495,0.887281409050998
62,Lao People's Democratic Republic,2004,1.5,5662199.0,5.662199,26.491474425395500,17.05062525,1.55369518929492,0.643626888266165
63,Lao People's Democratic Republic,2005,1.4,5751675.0,5.751675,24.340735524868800,12.098586500000000,2.011866057648040,0.497050982195626
64,Lao People's Democratic Republic,2006,1.3,5846075.0,5.846075,22.237142014086400,9.075910833333330,2.450127862915480,0.408141964807531
65,Lao People's Democratic Republic,2007,1.2,5944950.0,5.94495,20.18519920268460,8.53708325,2.36441400553106,0.422937775559063
66,Lao People's Democratic Republic,2008,1.2,6046630.0,6.04663,19.845765327132600,10.900381916666700,1.820648623034790,0.549254802573121
67,Lao People's Democratic Republic,2009,1.1,6148621.0,6.148621,17.890190336987800,2.24645175,7.96375454624734,0.125568912777607
68,Lao People's Democratic Republic,2010,1.0,6249168.0,6.249168,16.002130203572700,8.257440333333330,1.937904430138710,0.516021318929760
69,Lao People's Democratic Republic,2011,0.9,6347564.0,6.347564,14.178667595947000,10.374449500000000,1.366691080422820,0.731694246289091
70,Lao People's Democratic Republic,2012,0.8,6444527.0,6.444527,12.413634080515100,5.67735125,2.18651859535996,0.457348042738861
71,Lao People's Democratic Republic,2013,0.7,6541302.0,6.541302,10.701233485321400,12.562466583333300,0.851841747345923,1.173926968378450
72,Lao People's Democratic Republic,2014,0.7,6639763.0,6.639763,10.542544967343000,6.97579725,1.51130323739598,0.661680578229308
73,Lao People's Democratic Republic,2015,0.5,6741160.0,6.74116,7.41712108895205,4.543123416666670,1.63260391776767,0.612518437029934
74,Lao People's Democratic Republic,2016,0.5,6845848.0,6.845848,7.303697073028790,4.30334175,1.69721521025579,0.58920047025108
75,Lao People's Democratic Republic,2017,0.4,6953031.0,6.953031,5.752886762621940,-0.07117533333333340,-80.8269732391643,-0.01237210747755
76,Lao People's Democratic Republic,2018,0.4,7061498.0,7.061498,5.664520474267640,1.2359161666666700,4.58325623294106,0.218185488477109
